index,rooms,retail_price,address,city,sqft,toilets,image_id
1235,3.0,399990,13610 S LARGO Avenue,"Compton, CA",1211.0,3.0,1235
55,3.0,233000,2737 Hempstead Lane,"Bakersfield, CA",1499.0,2.0,55
8952,5.0,370000,14189 Sierra Grande Street,"Adelanto, CA",3069.0,3.0,8952
3139,4.0,1380000,110 Mangrove Banks,"Irvine, CA",2502.0,4.0,3139
4483,4.0,789000,6457 E Via Estrada,"Anaheim Hills, CA",2271.0,2.1,4483
8614,3.0,270000,12010 California Street,"Yucaipa, CA",1088.0,1.0,8614
1353,2.0,405000,13939 Maidstone Avenue,"Norwalk, CA",768.0,1.0,1353
1751,3.0,549000,27442 Cherry Creek Drive,"Valencia, CA",1245.0,2.0,1751
8552,3.0,265000,17915 Cajon Street,"Hesperia, CA",1400.0,2.0,8552
4580,3.0,811888,4162 Delphi Circle,"Huntington Beach, CA",1913.0,2.1,4580
2379,3.0,674990,16270 Kalisher Street,"Granada Hills, CA",1614.0,2.0,2379
10357,4.0,745000,7749 Meridian Street,"Chino, CA",2777.0,4.0,10357
3191,4.0,1199000,4 Trapani,"Laguna Niguel, CA",3255.0,3.1,3191
828,4.0,285000,2543 E Avenue Q6,"Palmdale, CA",1873.0,2.0,828
10146,3.0,683900,62677 Starlight Street,"Joshua Tree, CA",1954.0,2.1,10146
11335,2.0,315000,3839 S Vista Campana,"Oceanside, CA",994.0,1.1,11335
2716,3.0,785000,1310 N EVERGREEN Street,"Burbank, CA",1145.0,1.0,2716
5040,5.0,1090000,78801 Starlight Lane,"Bermuda Dunes, CA",5003.0,4.1,5040
1928,4.0,598000,13015 Anola Street,"Whittier, CA",1336.0,2.0,1928
417,3.0,1299990,947 Kingsley Drive,"Arcadia, CA",2074.0,2.0,417
2238,4.0,699900,19407 Lorne Street,"Reseda, CA",1552.0,2.0,2238
5528,4.0,279000,45127 Yale Street,"Indio, CA",1433.0,2.0,5528
8434,3.0,239900,12362 Glenwood Lane,"Victorville, CA",1377.0,2.1,8434
8884,4.0,350000,2725 Annapolis Circle,"San Bernardino, CA",1728.0,3.0,8884
1357,3.0,410000,1040 W 78TH Street,"Los Angeles, CA",1224.0,1.0,1357
7362,5.0,725000,30550 Via Las Palmas,"Thousand Palms, CA",3668.0,4.0,7362
9350,3.0,449900,8035 San Remo Court,"Fontana, CA",1754.0,2.1,9350
1666,3.0,449900,1728 E 123rd Street,"Los Angeles, CA",955.0,1.0,1666
4364,2.0,749000,167 N Lester Drive,"Orange, CA",1095.0,1.0,4364
8693,5.0,314500,972 Mecham Drive,"Lake Arrowhead, CA",2042.0,3.0,8693
951,2.0,350000,1014 W 65th Place,"Los Angeles, CA",620.0,1.0,951
608,4.0,1719000,3029 Via Borica,"Palos Verdes Estates, CA",2906.0,3.0,608
6713,4.0,570000,18255 Roberts Road,"Riverside, CA",2624.0,3.0,6713
9501,4.0,499000,5737 Delamar Drive,"Fontana, CA",,2.1,9501
10675,5.0,945000,10048 Goldenrod Court,"Rancho Cucamonga, CA",3527.0,4.1,10675
3502,2.0,249000,"1860 St. John Rd., M15-#32K","Seal Beach, CA",1100.0,2.0,3502
4039,2.0,700000,914 W Walnut Street,"Santa Ana, CA",1864.0,1.0,4039
3540,2.0,249000,13060 Del Monte Drive,"Seal Beach, CA",1200.0,2.0,3540
5417,2.0,210000,45479 Sheeps Foot Road,"Aguanga, CA",1152.0,2.0,5417
10064,5.0,674999,7759 Spring Hill Street,"Chino, CA",4146.0,5.0,10064
4151,5.0,685000,7001 Maple Street,"Westminster, CA",2073.0,2.0,4151
9513,3.0,530690,7407 Solstice Place,"Rancho Cucamonga, CA",1851.0,3.1,9513
5645,,295000,67926 Whitney Court,"Desert Hot Springs, CA",1895.0,2.0,5645
11152,2.0,215000,2890 Fonts Point Dr,"Borrego Springs, CA",1615.0,2.0,11152
4553,3.0,829900,13202 Marshall Lane,"Tustin, CA",1746.0,2.1,4553
418,3.0,1250000,440 Prospect Avenue,"Monrovia, CA",2728.0,2.1,418
8306,2.0,220000,30949 Valley Oak Drive,"Running Springs, CA",896.0,1.0,8306
2840,3.0,819999,2322 Roswell Avenue,"Long Beach, CA",2057.0,2.1,2840
9491,3.0,528000,525 Grand Avenue,"Colton, CA",8720.0,1.0,9491
4418,,749000,146 Los Alamitos Circle,"Placentia, CA",2172.0,3.0,4418
8123,4.0,1499995,42344 Golden Oak Road,"Big Bear, CA",3319.0,3.1,8123
3110,3.0,998800,48 Secret Garden,"Irvine, CA",1800.0,2.0,3110
9394,4.0,505000,820 E Monticello Street,"Ontario, CA",1716.0,2.0,9394
3252,5.0,1495000,26821 Chelsea Lane,"Laguna Hills, CA",4200.0,4.0,3252
5884,3.0,308000,26060 Fiesta Place,"Hemet, CA",1962.0,2.0,5884
9147,4.0,399000,6404 Airway Avenue,"Yucca Valley, CA",2313.0,2.0,9147
9731,4.0,587000,4093 Camellia Drive,"San Bernardino, CA",3008.0,3.0,9731
9243,3.0,399900,525 Angeles Boulevard,"Big Bear, CA",1566.0,2.0,9243
11165,3.0,250000,2939 Bending Elbow Dr,"Borrego Springs, CA",1680.0,2.0,11165
11192,3.0,249000,2239 Black Canyon Road 175,"Ramona, CA",2720.0,2.1,11192
1654,3.0,499900,3036 E 65th Street,"Long Beach, CA",1230.0,2.0,1654
3436,2.0,239900,13321 El Dorado M8 203J,"Seal Beach, CA",750.0,1.0,3436
11038,4.0,1749000,12992 Polvera Court,"San Diego, CA",4461.0,4.1,11038
7950,3.0,999888,40004 Valle Vista,"Murrieta, CA",3202.0,3.0,7950
26,3.0,235000,3933 Encino,"Frazier Park, CA",1760.0,2.1,26
5432,2.0,249900,26545 Mehaffey Street,"Sun City, CA",1538.0,2.0,5432
3577,2.0,338800,444 Avenida Sevilla,"Laguna Woods, CA",850.0,1.1,3577
5561,,279000,3880 Fox Tail Lane,"Belltown, CA",799.0,1.0,5561
5814,4.0,350000,12176 Leif Ericson Drive,"Moreno Valley, CA",1633.0,2.1,5814
6887,5.0,555000,3761 Ulla Lane,"Lake Elsinore, CA",3325.0,3.0,6887
3995,3.0,699900,120 N Trevor Street,"Anaheim, CA",1842.0,4.0,3995
10155,5.0,669500,13011 Sycamore Lane,"Yucaipa, CA",3108.0,3.0,10155
5007,4.0,1329000,48417 Vista Palomino,"La Quinta, CA",4243.0,4.1,5007
2753,5.0,898000,1008 S Montezuma Way,"West Covina, CA",2931.0,4.0,2753
11986,3.0,530000,89 H St.,"Chula Vista, CA",920.0,2.0,11986
8067,,945000,44833 Winged Foot Drive,"Indian Wells, CA",3380.0,3.1,8067
11914,4.0,550000,3630 Emmanuel Way,"Alpine, CA",2562.0,2.1,11914
6886,4.0,549900,32102 Elk Grove Court,"Temecula, CA",3083.0,3.1,6886
684,3.0,229900,42816 W Yew Street,"Lancaster, CA",936.0,1.0,684
10377,5.0,776000,1290 Skyview Court,"Big Bear, CA",3480.0,4.1,10377
651,3.0,219900,38609 E 11th Street,"Palmdale, CA",1590.0,2.0,651
11892,5.0,555000,286 Encinitas Ave,"San Diego, CA",,3.0,11892
197,6.0,339900,1241 N Mayflower Circle,"Ridgecrest, CA",2608.0,4.0,197
2611,3.0,747950,1843 S Mesa Street,"San Pedro, CA",1853.0,2.1,2611
5204,4.0,1895000,814 Shadow,"Palm Desert, CA",3314.0,4.1,5204
8390,3.0,215000,7562 Inca,"Yucca Valley, CA",1332.0,2.0,8390
3289,5.0,1599000,57 Calle Vista Del Sol,"San Clemente, CA",4785.0,5.1,3289
5738,3.0,349290,1022 Lavender Court,"Calimesa, CA",1573.0,2.0,5738
437,,1099000,6222 Mammoth Avenue,"Van Nuys, CA",2619.0,4.0,437
7805,5.0,899990,16525 Amberley Court,"Riverside, CA",4442.0,4.1,7805
3561,2.0,329000,2012 Via Mariposa,"Laguna Woods, CA",1324.0,2.0,3561
2739,4.0,799000,4137 Raynol Street,"Los Angeles, CA",1461.0,3.0,2739
9464,4.0,459000,26253 Sky Ridge Drive,"Lake Arrowhead, CA",3000.0,3.0,9464
8759,5.0,345000,13889 Periwinkle Court,"Hesperia, CA",2607.0,3.0,8759
7982,3.0,909000,79934 Mission Drive E,"La Quinta, CA",2635.0,3.1,7982
3031,4.0,998000,24501 Crabapple Court,"West Hills, CA",2417.0,3.0,3031
5728,3.0,299000,54560 Tangle Wood Lane,"Idyllwild, CA",968.0,3.0,5728
5391,3.0,195000,32489 WILDOMAR Road,"Lake Elsinore, CA",1584.0,2.0,5391
10922,2.0,1999000,1545 Marshall,"Alpine, CA",2426.0,2.0,10922
9044,3.0,359000,117 S Lamarr Street,"Rialto, CA",1246.0,2.0,9044
7520,3.0,749000,120 Via Santo Tomas,"Rancho Mirage, CA",2391.0,3.0,7520
8063,4.0,929000,55497 Southern Hills,"La Quinta, CA",3441.0,4.1,8063
11049,3.0,1649900,750 Yarmouth Ct,"San Diego, CA",1454.0,3.0,11049
11791,3.0,449000,4240 Cherokee Lane,"Borrego Springs, CA",3204.0,3.1,11791
6162,3.0,445000,1467 Adobe Way,"Palm Springs, CA",1475.0,2.0,6162
7880,4.0,995000,80460 Hermitage,"La Quinta, CA",3400.0,3.1,7880
5991,4.0,382000,155 Paisley Court,"Beaumont, CA",3225.0,3.0,5991
7103,3.0,699000,79401 Bermuda Dunes Drive,"Bermuda Dunes, CA",3089.0,2.1,7103
10346,4.0,749000,9811 Whirlaway Street,"Alta Loma, CA",2440.0,3.1,10346
10483,5.0,899999,5140 Buckwheat,"Chino Hills, CA",3618.0,4.1,10483
9238,5.0,425000,33461 Rosemond Street,"Yucaipa, CA",2377.0,2.0,9238
10050,4.0,645000,17604 Wildflower Place,"Chino Hills, CA",1868.0,3.0,10050
3247,5.0,1575000,18941 Gordon Lane,"Yorba Linda, CA",4825.0,4.0,3247
10412,3.0,750000,2949 BUCKHAVEN Road,"Chino Hills, CA",2185.0,2.1,10412
9807,4.0,589800,10180 Buffalo Street,"Oak Hills, CA",4005.0,4.0,9807
5175,4.0,1995000,49304 Via Conquistador,"La Quinta, CA",5331.0,4.1,5175
1714,2.0,499000,21028 ROYAL Boulevard,"Torrance, CA",875.0,1.0,1714
4953,3.0,1199900,81295 National Drive,"La Quinta, CA",3410.0,3.1,4953
6142,3.0,398500,35590 Summerland Avenue,"Palm Desert, CA",2062.0,3.1,6142
581,3.0,1698000,8011 FAREHOLM Drive,"Los Angeles, CA",1416.0,2.0,581
5614,2.0,279900,54495 Mitchell Road,"Anza, CA",1440.0,2.0,5614
1864,3.0,519900,24285 Verdugo Circle,"Valencia, CA",1678.0,3.0,1864
4771,3.0,899000,24321 Los Serranos Drive,"Laguna Niguel, CA",2477.0,2.0,4771
5325,3.0,249000,13344 La Mesa Drive,"Desert Hot Springs, CA",1280.0,2.0,5325
6143,3.0,399000,57230 Ramsey Road,"Anza, CA",2264.0,3.0,6143
11091,1.0,249000,8036 Linda Vista Rd,"San Diego, CA",650.0,1.0,11091
4717,3.0,819900,2042 Hetebrink Street,"Fullerton, CA",2155.0,2.1,4717
2348,3.0,650000,21041 Hackney Street,"Canoga Park, CA",1912.0,3.0,2348
1238,4.0,349000,38633 Angele Trumpet Court,"Palmdale, CA",2034.0,3.0,1238
1098,3.0,349999,37633 Barbara Lane,"Palmdale, CA",2360.0,3.0,1098
3344,6.0,1950000,9651 Crestview Circle,"Villa Park, CA",4600.0,5.1,3344
5250,3.0,1795000,49200 Avenida Fernando,"La Quinta, CA",4354.0,3.0,5250
3329,4.0,1995000,27221 Paseo Peregrino,"San Juan Capistrano, CA",4332.0,4.1,3329
8824,4.0,350000,750 E Home Street,"Rialto, CA",1440.0,2.0,8824
1274,2.0,389000,1149 N Hamilton Boulevard,"Pomona, CA",1062.0,1.0,1274
2160,4.0,649999,20200 INGOMAR Street,"Winnetka, CA",1928.0,2.0,2160
5030,4.0,1075000,18300 Avenida Bosque,"Murrieta, CA",4353.0,4.0,5030
8402,2.0,219000,15552 5th Street,"Victorville, CA",1460.0,1.0,8402
122,3.0,255000,1456 BRADFORD Avenue,"Rosamond, CA",1484.0,2.0,122
10573,4.0,799000,1019 W Kenwood Street,"Upland, CA",3396.0,3.1,10573
8668,2.0,279000,229 E Angeles Boulevard,"Big Bear, CA",1040.0,2.0,8668
3786,3.0,555000,7069 El Viento Way,"Buena Park, CA",1045.0,1.0,3786
2648,2.0,749000,15022 Wyandotte Street,"Van Nuys, CA",660.0,1.0,2648
10746,3.0,1275000,1031 Regal Road,"Encinitas, CA",1004.0,1.0,10746
2558,2.0,760000,5418 Buchanan Street,"Los Angeles, CA",1259.0,2.0,2558
6915,4.0,619950,39770 Princeton Circle,"Cherry Valley, CA",2823.0,2.1,6915
7226,5.0,649900,14840 Amorose Street,"Lake Elsinore, CA",3476.0,3.1,7226
6884,2.0,579900,78596 Alliance Way,"Palm Desert, CA",2640.0,2.1,6884
1389,5.0,430000,3268 Arious Way,"Lancaster, CA",3209.0,3.0,1389
11004,4.0,1499000,6639 Linda Ln,"San Diego, CA",2882.0,3.1,11004
7286,3.0,689000,1186 S San Joaquin Drive,"Palm Springs, CA",1956.0,2.0,7286
841,4.0,299900,44155 Kingtree Avenue,"Lancaster, CA",1334.0,2.0,841
6106,3.0,412500,6809 El Cajon Drive,"Riverside, CA",1382.0,3.0,6106
8246,4.0,1995000,28786 Palisades Drive,"Lake Arrowhead, CA",2988.0,4.0,8246
10425,4.0,749000,2485 Windmill Creek Road,"Chino Hills, CA",2130.0,2.1,10425
9946,5.0,650000,8588 Pico Avenue,"Hesperia, CA",4488.0,4.1,9946
3173,4.0,1268800,3586 Windspun Drive,"Huntington Beach, CA",1890.0,2.1,3173
3895,4.0,635000,568 S Harbor Boulevard,"Santa Ana, CA",1905.0,3.1,3895
2366,3.0,699000,20756 Clarendon Street,"Woodland Hills, CA",1404.0,2.0,2366
9716,5.0,559500,7174 Myrtle Place,"Fontana, CA",3113.0,2.1,9716
10789,5.0,1349900,201 Sierra Ridge Drive,"Encinitas, CA",3276.0,4.0,10789
900,,289900,608 Tina Court,"Lancaster, CA",1483.0,2.1,900
4028,4.0,699000,218 Swanee Avenue,"Placentia, CA",2358.0,3.0,4028
1366,3.0,425000,11749 Thorson Avenue,"Lynwood, CA",1113.0,1.0,1366
10912,4.0,1975000,4682 Desert Oriole,"Borrego Springs, CA",4660.0,5.1,10912
5527,3.0,279900,27207 Embassy Street,"Menifee, CA",1393.0,2.0,5527
2647,8.0,750000,1412 255th Street,"Harbor City, CA",3190.0,3.0,2647
6067,4.0,369900,112 Ibiza Lane,"Hemet, CA",2860.0,2.1,6067
11142,3.0,218000,3129 Frying Pan,"Borrego Springs, CA",1696.0,3.0,11142
5107,6.0,1300000,44830 Via Pino,"Temecula, CA",6573.0,5.1,5107
3948,3.0,655000,1905 W Hall Avenue,"Santa Ana, CA",1445.0,2.0,3948
6990,3.0,649000,24068 Continental Drive,"Canyon Lake, CA",1896.0,2.0,6990
6583,5.0,499900,30189 Goldenrain Drive,"Menifee, CA",4651.0,4.0,6583
10982,3.0,1995000,14780 Caminito Porto Alegre,"Del Mar, CA",2444.0,2.1,10982
5376,4.0,234900,2320 Cooper Avenue,"Thermal, CA",1600.0,2.0,5376
3765,3.0,559900,1105 Carlton Place,"Santa Ana, CA",994.0,1.0,3765
8415,2.0,230000,1094 Conejo Drive,"San Bernardino, CA",1140.0,1.0,8415
9397,3.0,469900,17729 Tude Court,"Apple Valley, CA",3094.0,3.0,9397
4164,3.0,695000,10382 Bonnie Drive,"Garden Grove, CA",1550.0,3.0,4164
4881,3.0,990000,13262 ETON Place,"North Tustin, CA",2222.0,2.1,4881
8263,7.0,1699000,623 Cove Drive,"Big Bear, CA",5524.0,5.2,8263
10286,4.0,744900,13532 Pineridge Court,"Yucaipa, CA",3735.0,4.1,10286
6418,5.0,445900,29602 Big Dipper Way,"Murrieta, CA",2643.0,3.0,6418
10270,4.0,699000,38710 Hummingbird Court,"Yucaipa, CA",3254.0,3.1,10270
4325,3.0,724888,7925 E Saffron Street,"Anaheim Hills, CA",1310.0,2.0,4325
10799,4.0,1350000,11704 Aspendell Dr,"San Diego, CA",3660.0,3.1,10799
4279,4.0,700000,6080 E Calle Cedro,"Anaheim Hills, CA",1962.0,2.0,4279
6749,5.0,585000,6113 Academy Avenue,"Riverside, CA",2938.0,4.1,6749
4110,2.0,659990,346 Camino San Clemente,"San Clemente, CA",1204.0,2.0,4110
6966,5.0,645000,33956 Galleron Street,"Temecula, CA",3155.0,3.0,6966
4807,3.0,929000,957 Verona Drive,"Fullerton, CA",2020.0,3.0,4807
1877,2.0,599900,8939 Guess Street,"Rosemead, CA",1140.0,1.0,1877
4450,4.0,799900,5 Calle Tejado,"San Clemente, CA",2294.0,3.0,4450
8180,5.0,1199900,216 Alp Court,"Big Bear, CA",5248.0,7.0,8180
2600,5.0,780000,10606 Garden Grove Avenue,"Porter Ranch, CA",2470.0,4.0,2600
7843,3.0,795000,78640 Cabrillo Way,"La Quinta, CA",2580.0,3.1,7843
8133,5.0,1450000,5109 Lipizzan Place,"Rancho Cucamonga, CA",5482.0,4.1,8133
2637,6.0,775000,9314 Tampa Avenue,"Northridge, CA",2353.0,5.1,2637
2126,2.0,649900,3731 California Avenue,"Long Beach, CA",951.0,1.0,2126
8096,4.0,1395000,28965 N Shore Road,"Lake Arrowhead, CA",3910.0,4.1,8096
7580,5.0,799999,15835 Skyridge Drive,"Riverside, CA",4895.0,4.1,7580
5998,2.0,369000,1777 Masters Drive,"Banning, CA",2133.0,2.1,5998
1102,3.0,326760,2042 East Newgrove St.,"Lancaster, CA",1430.0,2.0,1102
189,3.0,299500,604 Canyon Drive,"Lebec, CA",2479.0,3.0,189
7967,3.0,925000,41225 Avenida De Los Posas,"Murrieta, CA",2332.0,3.0,7967
5966,3.0,369900,9501 Clubhouse Blvd,"Desert Hot Springs, CA",1876.0,2.0,5966
6160,3.0,419000,43160 Port Maria Road,"Bermuda Dunes, CA",1972.0,3.0,6160
7685,5.0,849000,1410 Amelia Way,"Palm Springs, CA",3267.0,3.1,7685
7863,4.0,849999,41700 Jojoba Hills Circle,"Aguanga, CA",5250.0,4.1,7863
1123,3.0,399900,1125 W 8th Street,"Pomona, CA",1268.0,2.0,1123
4016,4.0,659900,2712 W Glenwood Place,"Santa Ana, CA",1761.0,2.1,4016
10537,5.0,809000,4956 Heritage Drive,"Chino Hills, CA",3186.0,3.0,10537
10902,6.0,1575000,6749 Mallee St,"Carlsbad, CA",4382.0,4.1,10902
1793,3.0,549000,12626 Bromont Avenue,"San Fernando, CA",1497.0,2.0,1793
2403,3.0,749888,8636 E Broadway,"San Gabriel, CA",1312.0,2.0,2403
6683,3.0,535000,504 Cantera Circle W,"Palm Springs, CA",1744.0,2.0,6683
9951,4.0,598000,13166 Baxter Springs Drive,"Rancho Cucamonga, CA",2417.0,3.0,9951
2012,4.0,575000,806 Ashcomb Drive,"La Puente, CA",1300.0,2.0,2012
11692,4.0,490000,515 S 65th Street,"San Diego, CA",1630.0,2.0,11692
10690,4.0,998000,10706 Mira Lago Ter,"San Diego, CA",2436.0,2.1,10690
10323,5.0,750000,16552 Sugar Lane,"Fontana, CA",4209.0,3.1,10323
10376,4.0,775000,16299 Davinci Drive,"Chino Hills, CA",3010.0,3.0,10376
1765,3.0,515000,4733 Olanda Street,"Lynwood, CA",1366.0,3.0,1765
6792,4.0,559900,22414 Black Beauty Trail,"Wildomar, CA",1953.0,2.0,6792
8086,4.0,1099000,1140 Alameda Road,"Big Bear, CA",3504.0,3.0,8086
7088,4.0,615000,7460 Summit Street,"Riverside, CA",,2.1,7088
11229,2.0,248800,37904 Montezuma Valley,"Ranchita, CA",1184.0,2.0,11229
515,5.0,1698000,1348 Wierfield Drive,"Pasadena, CA",4614.0,5.0,515
4005,3.0,698880,5681 Myra Avenue,"Cypress, CA",1851.0,1.1,4005
11952,4.0,550000,8202 Limon Lane,"El Cajon, CA",1915.0,2.0,11952
2045,3.0,615000,10916 Glencannon Drive,"Whittier, CA",1406.0,2.0,2045
6195,3.0,449900,31362 Windstone Drive,"Winchester, CA",1945.0,2.0,6195
6178,4.0,424900,38531 Tranquila Avenue,"Murrieta, CA",2005.0,3.0,6178
613,3.0,1897000,1717 Idlewood Road,"Glendale, CA",2690.0,3.1,613
6497,3.0,449000,80373 Royal Aberdeen Drive,"Indio, CA",,2.0,6497
4449,4.0,794900,19471 Pitcairn Lane,"Huntington Beach, CA",,2.0,4449
292,5.0,499000,2532 Brentwood Place,"Pine Mountain Club, CA",3300.0,3.1,292
1282,4.0,380000,42033 Quail Creek Drive,"Lancaster, CA",1937.0,3.0,1282
8906,7.0,355000,14535 Owl Court,"Victorville, CA",2982.0,3.0,8906
8746,3.0,315000,28664 Winthorp Way,"Highland, CA",1289.0,2.0,8746
9465,4.0,489999,2679 Linde Vista Drive,"Rialto, CA",2126.0,2.0,9465
5496,2.0,252900,68340 Corta Road,"Cathedral City, CA",984.0,2.0,5496
534,3.0,1595000,3400 CLUB Drive,"Los Angeles, CA",2029.0,2.0,534
8918,3.0,359900,329 E Sherwood Boulevard,"Big Bear, CA",1689.0,2.0,8918
8298,7.0,1900000,7625 Cypress Avenue,"Fontana, CA",2677.0,3.0,8298
2329,3.0,690000,5420 S Wilton Place,"Los Angeles, CA",1312.0,2.0,2329
8372,3.0,235000,1093 Pan Springs Lane,"Big Bear, CA",1120.0,2.0,8372
11951,3.0,540000,1701 Dayton Drive,"Lemon Grove, CA",1701.0,2.0,11951
6012,4.0,399000,41898 Saddleback Drive,"Aguanga, CA",2303.0,3.0,6012
10052,3.0,698000,1845 Old Baldy Way,"Upland, CA",2325.0,2.1,10052
10233,3.0,749900,2425 Highland Road,"Upland, CA",1775.0,2.0,10233
9477,3.0,499900,738 Tehama Drive,"Big Bear, CA",1902.0,2.0,9477
5499,2.0,198000,73823 Boca Chica Trail,"Thousand Palms, CA",1440.0,2.0,5499
3313,4.0,1875000,31 Newcastle Lane,"Laguna Niguel, CA",4121.0,4.1,3313
529,7.0,1599900,13426 Lanning Drive,"Whittier, CA",2101.0,3.0,529
6254,3.0,439900,5727 Balboa Way,"Riverside, CA",1540.0,2.0,6254
3701,3.0,525000,1436 Via Cortez,"Placentia, CA",1407.0,1.1,3701
6829,4.0,599999,15660 Gila Way,"Riverside, CA",2803.0,3.0,6829
5930,4.0,393990,1103 Raven Court,"Calimesa, CA",2428.0,3.0,5930
2429,3.0,748000,111 E Palm Street,"Altadena, CA",1602.0,2.0,2429
1921,5.0,605000,3512 Falls Court,"Palmdale, CA",3476.0,3.0,1921
5798,4.0,355000,1243 Addison Way,"Perris, CA",2352.0,2.1,5798
8230,4.0,1700000,5845 Beryl Street,"Alta Loma, CA",1908.0,3.0,8230
4295,3.0,699000,8982 Rathburn Avenue,"Westminster, CA",1300.0,2.0,4295
3821,2.0,579900,27062 Via Cocida,"San Juan Capistrano, CA",1680.0,3.0,3821
832,4.0,285900,36648 Santolina Drive,"Palmdale, CA",1422.0,2.0,832
9129,3.0,445000,3323 Crowfoot Road,"San Bernardino, CA",1855.0,2.0,9129
11312,3.0,349000,89 Blue Sky Lane,"Oceanside, CA",1600.0,2.0,11312
3427,2.0,239000,854 RONDA MENDOZA,"Laguna Woods, CA",1010.0,2.0,3427
2846,2.0,835000,6533 White Oak Avenue,"Reseda, CA",,1.0,2846
2210,4.0,615000,1426 W 95TH Street,"Los Angeles, CA",1200.0,2.0,2210
4765,4.0,898000,10676 Morning Glory Avenue,"Fountain Valley, CA",1700.0,3.0,4765
3345,3.0,1495000,3007 Corte Hermosa,"Newport Beach, CA",2269.0,2.1,3345
4838,4.0,959900,13362 Winthrope Street,"North Tustin, CA",2162.0,2.0,4838
766,3.0,269900,2603 E Nugent Street,"Lancaster, CA",1492.0,2.0,766
8438,3.0,240000,844 N Mayfield Avenue,"San Bernardino, CA",1049.0,2.0,8438
6584,5.0,499888,31292 Pinon Pine Circle,"Winchester, CA",3435.0,3.0,6584
9232,3.0,399000,443 Brentwood Drive,"Lake Arrowhead, CA",1978.0,3.0,9232
